location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
3.0,21.0026665,105.81543,2.0,2.0,123.0,5000.0
3.0,20.9805944,105.78863290000004,3.0,2.0,130.0,2600.0
2.0,21.034759354578913,105.79370498657227,2.0,2.0,71.3,2150.0
3.0,21.0026337879909,105.81580469113806,3.0,3.0,165.0,5400.0
3.0,21.0025536595327,105.81554719907194,3.0,3.0,164.0,5780.0
3.0,21.003194685994,105.81486055356402,3.0,3.0,165.0,5400.0
3.0,21.0012691216553,105.81625699996903,3.0,2.0,94.0,4400.0
3.0,20.99904,105.8051,2.0,2.0,82.5,1980.0
3.0,21.003267435322552,105.81485033035278,2.0,2.0,121.0,5130.0
0.0,21.08747,105.7833,2.0,2.0,69.6,1190.2
3.0,21.0003013,105.79792139999995,2.0,2.0,75.5,1887.5
26.0,10.8014659,106.65259739999999,2.0,2.0,63.0,895.0
3.0,20.993486404418945,105.8069076538086,3.0,2.0,166.0,5146.0
3.0,20.9922844,105.8010918,2.0,2.0,75.5,1887.5
26.0,10.80627727508545,106.64698791503906,1.0,1.0,45.0,1260.0
26.0,10.825569152832,106.62985229492199,2.0,2.0,73.0,940.0
2.0,21.0346202850342,105.79354095459007,3.0,1.0,64.0,1920.0
3.0,20.9983049,105.81326100000001,1.0,1.0,41.0,950.0
3.0,20.9993877410889,105.80726623535202,2.0,2.0,62.7,1379.4
3.0,20.9990386962891,105.80509185790993,2.0,2.0,75.0,1875.0
26.0,10.7774136337042,106.62256482788098,2.0,2.0,63.0,875.7
26.0,10.825690338665126,106.62964844703674,2.0,2.0,87.0,1800.0
2.0,21.0346202850342,105.79354095459007,2.0,2.0,75.0,2625.0
26.0,10.825569152832,106.62985229492199,2.0,2.0,80.0,1800.0
3.0,21.027835,105.852276,2.0,2.0,50.0,960.0
0.0,21.087467193603526,105.78319668769836,2.0,2.0,69.6,1190.2
26.0,10.80627727508545,106.64698791503906,2.0,2.0,56.0,1568.0
26.0,10.825569152832031,106.62985229492188,2.0,2.0,79.8,1620.0
3.0,20.99640487730836,105.84109289814751,2.0,1.0,23.0,960.0
3.0,20.9974036,105.8040588,2.0,2.0,62.7,1692.9
3.0,20.99939,105.8073,2.0,2.0,62.7,1630.2
3.0,20.99939,105.8073,2.0,2.0,67.0,1608.0
