location,geo_lat,geo_long,number_of_floors,surface_size,price
0.0,10.7843695,106.6844089,10.0,210.0,75000.0
0.0,10.788353,106.6769296,4.0,140.0,11800.0
0.0,10.7706954,106.67760010000006,2.0,64.0,5200.0
0.0,10.7706954,106.67760010000006,2.0,700.0,60000.0
0.0,10.7851579,106.68379800000002,6.0,80.0,6100.0
0.0,10.7851579,106.68379800000002,6.0,80.0,6100.0
0.0,10.7878836,106.69193210000003,3.0,300.0,42000.0
0.0,10.777483,106.68909610000003,5.0,71.3,10200.0
0.0,10.777483,106.68909610000003,2.0,112.0,12000.0
0.0,10.7851579,106.68379800000002,5.0,60.0,6500.0
0.0,10.7851579,106.68379800000002,4.0,56.8,5800.0
0.0,10.7851579,106.68379800000002,5.0,64.0,5800.0
0.0,10.7851579,106.68379800000002,3.0,108.0,6500.0
0.0,10.7851579,106.68379800000002,5.0,57.2,6500.0
0.0,10.7843695,106.6844089,3.0,89.3,6700.0
0.0,10.7706954,106.67760010000006,1.0,83.0,6650.0
0.0,10.7851579,106.68379800000002,3.0,87.0,7500.0
0.0,10.7851579,106.68379800000002,3.0,105.0,7300.0
0.0,10.7817574,106.68890570000008,3.0,105.0,7300.0
0.0,10.7851579,106.68379800000002,3.0,105.0,7300.0
0.0,10.7851579,106.68379800000002,3.0,87.0,7500.0
0.0,10.7835106,106.68377570000007,3.0,93.0,7300.0
0.0,10.7835106,106.68377570000007,3.0,80.6,7200.0
0.0,10.7809189,106.68288010000003,3.0,97.5,7600.0
0.0,10.7851579,106.68379800000002,2.0,94.5,7100.0
0.0,10.7851579,106.68379800000002,2.0,94.5,7100.0
0.0,10.7851579,106.68379800000002,2.0,94.5,7100.0
0.0,10.790442,106.67979270000001,3.0,63.0,5600.0
2.0,10.7251014,106.72641249999992,3.0,83.0,3900.0
2.0,10.782083,106.625362,3.0,76.0,4500.0
2.0,10.782872,106.62457799999993,3.0,72.0,3900.0
2.0,10.783714,106.62719600000003,3.0,69.8,4800.0
2.0,10.789015,106.63149569999996,3.0,58.8,3500.0
2.0,10.7251014,106.72641249999992,3.0,84.0,3600.0
2.0,10.782083,106.625362,3.0,80.0,4500.0
2.0,10.7696824,106.6226365,2.0,80.0,4000.0
2.0,10.7621243196995,106.62425481216405,3.0,80.0,4700.0
2.0,10.7758599,106.63096300000007,2.0,80.0,3600.0
2.0,10.7719385,106.62837200000001,3.0,64.0,4600.0
2.0,10.7716370591741,106.62922465026202,3.0,64.0,4600.0
2.0,10.7719385,106.62837200000001,3.0,80.0,5700.0
2.0,10.7719385,106.62837200000001,1.0,64.0,4800.0
2.0,10.7719385,106.62837200000001,1.0,70.0,2700.0
0.0,10.790442,106.67979270000001,2.0,76.0,5600.0
2.0,10.7798386,106.62928950000003,1.0,98.7,3950.0
2.0,10.7816896,106.62493500000005,2.0,68.3,4300.0
2.0,10.7785654,106.63177919999998,3.0,72.0,4000.0
2.0,10.7812377,106.6203994,3.0,95.0,4100.0
2.0,10.7746404,106.63028899999995,3.0,76.0,4600.0
2.0,10.7746404,106.63028899999995,5.0,160.0,7900.0
2.0,10.781341,106.62560699999995,1.0,80.0,3600.0
2.0,10.7783421,106.64347509999993,2.0,59.8,3600.0
2.0,10.7812377,106.6203994,4.0,45.0,2750.0
2.0,10.7753885,106.63096139999993,4.0,76.0,5000.0
2.0,10.7782894022051,106.64297084470502,1.0,18.0,1400.0
2.0,10.7251014,106.72641249999992,1.0,72.0,2600.0
2.0,10.7957535221051,106.627883573325,2.0,108.0,5550.0
2.0,10.779731912642593,106.61428390849596,3.0,90.0,7000.0
2.0,10.79473,106.6888,2.0,94.5,5400.0
2.0,10.795761856935648,106.62175920503228,3.0,100.0,5500.0
2.0,10.7616811,106.63243169999998,1.0,67.5,9700.0
2.0,10.792602118925721,106.63260897301643,1.0,100.0,3300.0
2.0,10.783033369746873,106.62596358518067,4.0,84.0,8500.0
2.0,10.781062496662765,106.63278712491456,4.0,84.0,8500.0
2.0,10.779597874151728,106.6355761018524,4.0,82.3,9500.0
2.0,10.792528345508119,106.63257678650825,1.0,260.0,10000.0
