location,geo_lat,geo_long,surface_size,price
4.0,21.0347067,105.79233939999995,126.0,21420.0
4.0,21.027835,105.852276,170.3,22139.0
4.0,21.0381425028216,105.79782208385302,66.0,21500.0
4.0,21.04162250596732,105.78942818916323,176.0,25000.0
4.0,21.049446820429548,105.8056107624268,60.0,3100.0
4.0,21.0428776,105.79753490000007,250.0,70000.0
4.0,21.0362368,105.79058250000003,42.0,5500.0
4.0,21.044944109310826,105.79756845767213,200.0,70000.0
4.0,21.0414535,105.78848540000001,41.5,5600.0
4.0,21.0416124925314,105.7892779854584,41.0,5535.0
4.0,21.027835,105.852276,73.0,3500.0
4.0,21.027835,105.852276,75.0,3350.0
0.0,10.8772815,106.6735165,84.0,1100.0
0.0,10.8900038,106.6821903,100.0,1100.0
0.0,10.8799092,106.66461770000001,390.0,1300.0
0.0,10.89398405672556,106.67827277818606,420.0,1800.0
0.0,10.8592393,106.66834790000007,455.0,1720.0
0.0,10.889908979334352,106.68228685952454,191.2,1700.0
0.0,10.879279142125295,106.67423722330932,95.0,920.0
0.0,10.8799778,106.66565200000002,80.0,770.0
0.0,10.8955795285795,106.68141824766803,105.0,600.0
0.0,10.873501003695003,106.6749904933929,110.0,1060.0
0.0,10.8898455311646,106.68292159709802,68.0,750.0
0.0,10.871117,106.67001879999998,84.0,750.0
0.0,10.878879090008938,106.67753178366706,100.0,670.0
9.0,10.8671531,106.64133219999997,75.0,159.0
0.0,10.8817435,106.67958229999999,68.0,480.0
0.0,10.868174300351933,106.67504269370124,80.0,440.0
0.0,10.867153099999985,106.65772586149899,72.0,490.0
0.0,10.776119,106.68944799999997,264.0,2650.0
0.0,10.876982283739228,106.6762327868164,75.0,410.0
0.0,10.8671531,106.64133219999997,75.0,410.0
0.0,10.874453928269372,106.67495686301277,80.0,600.0
0.0,10.855038,106.6294848,175.0,2550.0
0.0,10.8542802,106.62775160000001,300.0,2600.0
0.0,10.8542802,106.62775160000001,300.0,2600.0
0.0,10.8817435,106.67958229999999,81.0,740.0
0.0,10.871117,106.67001879999998,64.0,578.0
0.0,10.880557278466785,106.67438527255251,48.0,460.0
0.0,10.855038,106.6294848,80.0,1200.0
0.0,10.8542802,106.62775160000001,110.0,1000.0
0.0,10.8542802,106.62775160000001,58.8,820.0
0.0,10.8817435,106.67958229999999,74.8,790.0
0.0,10.9064071,106.71282289999999,52.0,450.0
0.0,10.8799778,106.66508337168898,80.0,480.0
0.0,10.880062087846998,106.6701151958008,80.0,312.0
0.0,10.8551077,106.62767600000006,100.0,450.0
0.0,10.8596614,106.70577330000003,56.0,430.0
0.0,10.8818487,106.64699330000008,630.0,17010.0
0.0,10.872133786823081,106.63044599370119,112.5,1450.0
0.0,10.858122765659523,106.6800162671509,60.0,610.0
0.0,10.882027969702941,106.6798183343933,90.0,730.0
0.0,10.87333571731998,106.67743653278808,57.0,630.0
0.0,10.882363878038685,106.67863141534417,88.0,640.0
0.0,10.860659290007959,106.68764455952453,52.0,450.0
0.0,10.866797,106.62618309999993,50.0,449.0
0.0,10.8657080992536,106.62849927437401,120.0,1450.0
0.0,10.8818487,106.64699330000008,1080.0,21600.0
0.0,10.8818487,106.64699330000008,112.0,2700.0
0.0,10.8655282738621,106.628510334363,160.0,1650.0
0.0,10.871262754841883,106.6307258362458,80.3,920.0
0.0,10.871719512890804,106.62013674760738,80.0,920.0
0.0,10.87969,106.6391314,80.0,920.0
0.0,10.868440681354695,106.62813574816278,65.0,810.0
0.0,10.87969,106.6391314,103.0,1180.0
0.0,10.8666346035496,106.62725506054403,80.0,1130.0
0.0,10.865717955521367,106.65428104285274,140.0,2310.0
0.0,10.871355620107835,106.63000122324831,64.0,820.0
0.0,10.873031178362732,106.61921868027343,80.0,800.0
0.0,10.883683836427492,106.6835460542145,3317.0,26536.0
0.0,10.8762964,106.65486039999996,140.0,2520.0
0.0,10.868419608574108,106.63083941484979,76.0,800.0
0.0,10.87135758143927,106.63033959814766,80.0,950.0
0.0,10.88098592426499,106.63328418434753,85.0,900.0
0.0,10.8791737359187,106.637489888083,84.6,900.0
0.0,10.877919947999144,106.6394747227539,110.0,1375.0
0.0,10.864823,106.68169710000006,76.5,660.0
0.0,10.872165784911287,106.68792863068848,180.0,2000.0
0.0,10.8831132282577,106.64162321163894,135.0,2400.0
0.0,10.8753481915794,106.67695641370801,135.0,2200.0
0.0,10.873113200183225,106.64044840426027,125.0,2320.0
