location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
3.0,20.99245,105.7889,3.0,2.0,130.0,8.0
3.0,20.99304,105.7884,3.0,3.0,126.0,9.5
3.0,21.0048477,105.80392489999997,3.0,2.0,130.0,8.0
3.0,21.0048477,105.80392489999997,3.0,2.0,131.0,9.0
3.0,21.0048477,105.80392489999997,3.0,2.0,112.0,8.0
3.0,20.990697860717777,105.78784823417664,3.0,2.0,120.0,7.0
3.0,20.9975166,105.795166,3.0,2.0,132.0,9.5
3.0,20.9975166,105.795166,3.0,2.0,132.0,9.5
3.0,20.9975166,105.795166,3.0,3.0,130.0,9.0
3.0,20.9975166,105.795166,3.0,3.0,130.0,8.5
3.0,21.0330371856689,105.76166534423805,2.0,2.0,90.0,6.0
3.0,21.03304,105.7617,3.0,2.0,115.0,12.0
3.0,21.0790156,105.76345089999995,2.0,2.0,82.0,6.0
3.0,20.9975166,105.795166,3.0,2.0,127.0,11.5
3.0,21.0790156,105.76345089999995,3.0,2.0,160.0,10.0
3.0,21.034727531218447,105.77154612541199,3.0,2.0,159.0,11.0
3.0,21.03004,105.7766,2.0,2.0,154.0,17.3
3.0,21.03004,105.7766,3.0,3.0,171.0,23.0
3.0,21.015804898608376,105.78219532966614,3.0,3.0,140.0,8.0
3.0,21.03113,105.7681,2.0,2.0,110.0,11.0
3.0,21.0790156,105.76345089999995,2.0,3.0,133.0,25.9
3.0,21.03084,105.775795,3.0,2.0,102.0,12.0
3.0,21.03006458409037,105.77654075622559,2.0,2.0,116.0,19.7
3.0,20.9953479766846,105.77940368652298,3.0,2.0,110.0,8.0
3.0,20.99523779466557,105.77938222885086,5.0,3.0,150.0,10.0
3.0,20.99534797668457,105.77940368652344,3.0,2.0,174.0,13.0
3.0,20.995287877411574,105.77950024604752,3.0,2.0,87.0,12.0
3.0,20.995348,105.7794,4.0,2.0,96.0,6.0
3.0,21.004299,105.79868850000003,3.0,2.0,125.0,10.0
3.0,20.99081,105.7839,3.0,2.0,107.0,7.0
3.0,21.01206,105.7751,4.0,3.0,141.0,16.2
3.0,21.01206,105.7751,2.0,2.0,85.0,15.1
3.0,21.0790156,105.76345089999995,3.0,2.0,95.0,8.0
3.0,20.9975166,105.795166,3.0,2.0,133.0,10.0
3.0,20.9930382,105.788353,3.0,2.0,126.0,10.0
3.0,20.9930382,105.788353,3.0,2.0,100.0,10.0
3.0,20.993579,105.79820940000002,3.0,2.0,131.0,10.0
3.0,21.0790156,105.76345089999995,2.0,2.0,93.0,8.0
3.0,20.9975166,105.795166,2.0,2.0,100.0,10.0
3.0,21.01689,105.7458,2.0,2.0,87.0,7.0
3.0,21.01689,105.7458,2.0,2.0,87.0,7.0
3.0,21.01689,105.7458,2.0,2.0,87.0,7.0
3.0,20.994617,105.80036700000005,3.0,3.0,130.0,8.0
3.0,20.99752,105.7952,3.0,2.0,110.0,9.0
3.0,21.0277644,105.83415979999995,3.0,2.0,90.0,4.5
3.0,21.0048477,105.80392489999997,2.0,2.0,102.0,8.0
3.0,21.0167774986801,105.74583888053894,3.0,2.0,98.0,4.0
3.0,21.01689,105.7458,3.0,2.0,89.0,4.0
3.0,21.0374444543221,105.76491002170405,1.0,1.0,43.0,4.5
3.0,21.034658432006836,105.76454162597656,2.0,2.0,90.0,7.5
3.0,21.03275577814893,105.76026082038925,3.0,2.0,130.0,6.0
3.0,21.0375755469843,105.76515798042601,1.0,1.0,45.0,4.5
3.0,21.0347075034189,105.77155685424805,3.0,2.0,159.0,12.5
2.0,21.01905,105.7932,2.0,2.0,92.0,13.0
2.0,21.01905,105.7932,2.0,2.0,86.0,12.0
2.0,21.02091,105.79,2.0,1.0,100.0,10.5
2.0,21.016733,105.79593,2.0,2.0,100.0,12.5
2.0,21.00837,105.8029,3.0,2.0,102.0,8.0
2.0,21.0190467834473,105.79322052001999,4.0,4.0,300.0,30.0
2.0,21.0101531,105.7988345,2.0,2.0,98.0,12.0
2.0,21.0276005,105.79087200000004,2.0,2.0,98.0,14.9
11.0,10.81545,106.671246,2.0,2.0,92.0,18.9
11.0,10.8151092529297,106.66687774658203,2.0,2.0,93.0,16.5
11.0,10.815109252929688,106.66687774658203,1.0,2.0,70.0,14.3
11.0,10.81490079157262,106.6667640209198,1.0,1.0,55.0,13.3
11.0,10.8151092529297,106.66687774658203,3.0,2.0,126.0,19.6
11.0,10.8151092529297,106.66687774658203,3.0,2.0,95.0,14.0
9.0,21.0353362,105.82389269999999,3.0,2.0,130.0,12.0
9.0,21.02419305104587,105.81959533691406,4.0,2.0,153.0,15.0
9.0,21.0241680145264,105.81959533691406,3.0,2.0,123.0,13.0
9.0,21.0287132263184,105.82358551025402,3.0,3.0,135.0,25.0
9.0,21.02871,105.8236,3.0,3.0,178.0,37.8
9.0,21.02871,105.8236,3.0,2.0,130.0,20.0
9.0,21.02871,105.8236,1.0,1.0,50.0,15.8
9.0,21.02871,105.8236,1.0,1.0,45.0,19.0
9.0,21.0287132,105.823586,2.0,2.0,95.0,16.0
9.0,21.02871,105.8236,3.0,3.0,130.0,34.0
9.0,21.0267735,105.81559,3.0,2.0,150.0,19.2
9.0,21.0267735,105.81559,3.0,2.0,140.0,14.0
9.0,21.0267735,105.81559,3.0,2.0,150.0,16.0
9.0,21.02677,105.8156,3.0,2.0,130.0,16.0
9.0,21.0358781589947,105.81327560978707,1.0,1.0,50.0,10.9
9.0,21.03487964498376,105.80943067672115,1.0,1.0,80.0,6.8
9.0,21.02594,105.8222,3.0,2.0,130.0,14.0
9.0,21.0172513634273,105.80102062260266,2.0,2.0,108.6,18.2
9.0,21.0337815,105.81405389999998,2.0,2.0,108.0,18.2
9.0,21.0352802,105.80921609999996,2.0,2.0,70.0,13.9
9.0,21.02594,105.8222,3.0,2.0,110.0,16.0
9.0,21.0277644,105.83415979999995,3.0,3.0,128.0,19.0
9.0,21.0276375,105.816673,3.0,2.0,128.0,18.0
9.0,21.0276375,105.816673,3.0,2.0,128.6,18.0
9.0,21.04124,105.807846,3.0,2.0,140.0,21.4
9.0,21.0337815,105.81405389999998,2.0,2.0,108.0,20.0
9.0,21.0337815,105.81405389999998,2.0,2.0,113.0,15.0
9.0,21.0337815,105.81405389999998,2.0,2.0,113.0,13.5
9.0,21.02764,105.8167,3.0,2.0,128.0,16.0
9.0,20.993579,105.79820940000002,3.0,2.0,110.0,16.0
9.0,21.041240692138672,105.80784606933594,2.0,2.0,70.0,13.0
9.0,21.041240692138672,105.80784606933594,2.0,2.0,90.0,13.0
9.0,21.041240692138672,105.80784606933594,3.0,2.0,124.0,18.0
9.0,21.041240692138672,105.80784606933594,2.0,2.0,70.0,12.0
9.0,21.041240692138672,105.80784606933594,3.0,2.0,124.0,18.0
9.0,21.02417,105.8196,3.0,2.0,123.0,15.0
9.0,21.0259361,105.822189,3.0,2.0,122.0,15.0
9.0,21.0153717,105.81288510000002,2.0,2.0,122.0,13.0
23.0,10.7590189,106.664955,2.0,1.0,60.0,8.0
29.0,10.7109232,106.641983,2.0,2.0,70.0,4.0
9.0,21.0153717,105.81288510000002,2.0,2.0,100.0,7.5
9.0,21.021005630493164,105.81826782226562,2.0,2.0,70.0,8.5
9.0,21.020889,105.8158204,2.0,1.0,65.0,4.5
9.0,21.020889,105.8158204,2.0,1.0,57.0,4.5
9.0,21.021005630493164,105.81826782226562,2.0,2.0,70.0,5.5
9.0,21.021005630493164,105.81826782226562,2.0,2.0,70.0,8.0
9.0,21.02207575250256,105.81312746214905,2.0,1.0,35.0,3.2
9.0,21.0270609,105.8194896,3.0,2.0,115.5,15.0
9.0,21.02764,105.8167,2.0,2.0,107.0,13.5
9.0,21.02764,105.8167,2.0,2.0,108.0,13.5
9.0,21.02594,105.8222,3.0,2.0,107.0,14.0
9.0,21.02594,105.8222,3.0,2.0,134.0,21.0
9.0,21.02594,105.8222,3.0,2.0,115.0,14.5
9.0,21.02594,105.8222,3.0,2.0,115.0,14.0
9.0,21.0312282,105.80249989999993,3.0,2.0,115.5,15.0
9.0,21.0270609,105.8194896,3.0,2.0,115.5,15.0
9.0,21.0270609,105.8194896,3.0,2.0,115.5,15.0
9.0,21.0270609,105.8194896,3.0,2.0,115.5,15.0
9.0,21.02894860978742,105.85244722590335,3.0,2.0,102.0,16.0
9.0,21.0277644,105.83415979999995,2.0,2.0,112.0,16.0
9.0,21.02594,105.8222,3.0,2.0,120.0,14.0
9.0,21.02764,105.8167,3.0,2.0,118.0,18.0
9.0,21.0337815,105.81405389999998,2.0,2.0,111.0,12.0
9.0,21.0263214,105.811119,2.0,2.0,111.0,12.0
9.0,21.02764,105.8167,3.0,2.0,118.0,18.0
9.0,21.026321411132812,105.81111907958984,2.0,2.0,111.0,12.0
9.0,21.026321411132812,105.81111907958984,2.0,2.0,111.0,12.0
9.0,21.026321411132812,105.81111907958984,2.0,2.0,111.0,11.0
2.0,21.00696,105.8011,3.0,3.0,155.0,17.9
2.0,21.00696,105.8011,3.0,3.0,155.0,18.9
2.0,21.0056,105.7989,3.0,2.0,155.0,15.0
2.0,21.0362368,105.79058250000003,3.0,2.0,152.0,18.0
2.0,21.00696,105.8011,3.0,2.0,152.0,18.6
2.0,21.0083656,105.80291,3.0,2.0,130.0,12.0
2.0,21.0083656,105.80291,2.0,2.0,130.0,12.0
2.0,21.00888,105.8003,3.0,2.0,116.0,12.0
2.0,21.0362368,105.79058250000003,3.0,2.0,160.0,16.8
2.0,21.0179822,105.80054610000002,2.0,2.0,100.0,15.1
2.0,20.99537,105.7994,3.0,2.0,96.0,11.0
2.0,21.0101531,105.7988345,3.0,2.0,165.0,21.0
2.0,21.0101531,105.7988345,2.0,1.0,70.0,11.8
2.0,21.0155315,105.799416,1.0,1.0,72.0,16.2
2.0,21.00448,105.79859999999996,4.0,4.0,266.6,52.2
2.0,21.00837,105.8029,3.0,2.0,141.0,18.3
2.0,21.00837,105.8029,3.0,2.0,151.0,14.0
2.0,21.006958,105.801079,3.0,3.0,152.0,16.0
2.0,21.00524538540462,105.79812550544739,4.0,4.0,270.0,65.0
2.0,21.007008086625834,105.8012182712555,3.0,3.0,162.0,16.0
2.0,20.993579,105.79820940000002,3.0,3.0,181.0,17.1
2.0,21.0088959,105.789932,3.0,2.0,130.0,17.1
2.0,21.02894860978742,105.85244722590335,3.0,2.0,155.0,16.0
2.0,21.0101531,105.7988345,4.0,3.0,200.0,21.4
2.0,21.00696,105.8011,3.0,3.0,181.0,16.8
2.0,21.0362368,105.79058250000003,2.0,2.0,91.0,13.0
2.0,21.017442898874307,105.79381734132767,2.0,2.0,80.0,8.0
2.0,21.035115,105.79377299999999,2.0,2.0,98.0,10.0
2.0,21.0362368,105.79058250000003,2.0,2.0,98.0,10.0
2.0,21.0347067,105.79233939999995,2.0,2.0,98.0,10.0
2.0,21.0088959,105.789932,4.0,3.0,190.0,19.3
2.0,20.993579,105.79820940000002,3.0,2.0,162.0,17.1
2.0,21.0088959,105.789932,2.0,2.0,80.0,10.5
2.0,21.0294907,105.7918512,2.0,2.0,85.0,10.0
2.0,21.0362368,105.79058250000003,2.0,2.0,75.0,5.5
2.0,21.03624,105.7854,2.0,2.0,91.0,12.0
2.0,21.04025,105.791084,3.0,2.0,130.0,12.0
2.0,21.0390555,105.79184170000008,2.0,2.0,108.0,12.0
2.0,21.0101531,105.7988345,3.0,2.0,130.0,15.2
2.0,21.0347067,105.79233939999995,3.0,2.0,120.0,18.3
2.0,21.00837,105.8029,2.0,2.0,98.0,9.0
2.0,21.0362368,105.79058250000003,3.0,2.0,109.0,10.0
2.0,21.0362368,105.79058250000003,3.0,3.0,123.0,21.4
2.0,21.0362368,105.79058250000003,2.0,2.0,90.0,17.1
2.0,21.0362396240234,105.78537750244095,2.0,2.0,93.0,12.0
2.0,21.0362396240234,105.78537750244095,2.0,2.0,91.0,10.0
2.0,21.0360012,105.782463,3.0,2.0,116.0,25.7
2.0,21.0083656,105.80291,2.0,2.0,92.0,15.9
2.0,21.0360012,105.782463,3.0,2.0,145.0,26.0
2.0,21.0362368,105.79058250000003,2.0,2.0,100.0,23.5
2.0,21.0362368,105.79058250000003,2.0,2.0,91.0,11.0
2.0,21.0362396240234,105.78537750244095,2.0,2.0,91.0,10.0
2.0,21.03624,105.7854,2.0,2.0,95.0,11.0
2.0,21.0362368,105.79058250000003,3.0,2.0,116.0,31.0
2.0,21.0347067,105.79233939999995,3.0,2.0,116.0,31.9
2.0,21.0360012054443,105.78246307373001,3.0,2.0,128.0,38.0
2.0,21.03529,105.7919,4.0,3.0,125.0,9.0
2.0,21.02708,105.7934,2.0,2.0,97.0,10.0
2.0,21.01905,105.7932,2.0,2.0,98.0,13.0
2.0,21.0319252,105.7992,2.0,2.0,86.0,13.5
2.0,21.0347067,105.79233939999995,2.0,2.0,90.0,8.0
2.0,21.0044842,105.79863,2.0,2.0,122.0,23.5
2.0,21.0101531,105.7988345,3.0,3.0,144.0,23.5
2.0,21.014349,105.79641,3.0,2.0,131.0,13.0
2.0,21.0362368,105.79058250000003,2.0,1.0,70.0,9.0
2.0,21.0091316,105.80279229999996,2.0,2.0,124.0,12.0
2.0,21.0182832,105.79877140000008,3.0,2.0,131.0,13.0
21.0,10.8007908385967,106.682673227539,2.0,2.0,88.0,13.0
2.0,21.029271637996466,105.7813024520874,3.0,2.0,120.0,37.8
2.0,21.0347067,105.79233939999995,2.0,2.0,83.0,10.5
2.0,21.0362368,105.79058250000003,3.0,3.0,152.0,13.0
2.0,21.02707862854,105.79344940185501,3.0,2.0,150.0,11.0
2.0,21.02707862854004,105.79344940185547,2.0,2.0,98.0,10.0
2.0,21.02707862854004,105.79344940185547,3.0,2.0,128.0,10.0
2.0,21.0347067,105.79233939999995,1.0,1.0,67.0,11.5
2.0,21.0138002,105.80178580000006,3.0,2.0,120.0,12.6
2.0,21.0101531,105.7988345,2.0,2.0,127.0,18.9
2.0,21.00837,105.8029,3.0,2.0,153.0,16.8
2.0,21.00888,105.8003,3.0,2.0,128.0,15.0
2.0,21.0056,105.7989,3.0,2.0,125.0,15.0
2.0,21.00888,105.8003,2.0,2.0,90.0,14.0
2.0,21.0099881,105.80464519999998,2.0,1.0,70.0,9.5
2.0,21.04025,105.7911,3.0,2.0,130.0,10.5
2.0,21.0362368,105.79058250000003,2.0,1.0,75.0,9.5
2.0,21.008365631103516,105.80290985107422,2.0,1.0,80.0,9.5
2.0,20.993579,105.79820940000002,2.0,2.0,98.0,9.0
2.0,21.01339,105.8032,2.0,2.0,105.0,18.0
2.0,21.0101531,105.7988345,3.0,3.0,191.0,25.0
2.0,21.00837,105.8029,2.0,2.0,120.0,10.0
2.0,21.0224,105.7867,2.0,2.0,100.0,13.7
2.0,21.031756,105.78849079999998,2.0,1.0,85.0,10.5
2.0,21.0277644,105.83415979999995,3.0,2.0,146.0,15.0
2.0,21.0362368,105.79058250000003,2.0,2.0,97.0,10.0
2.0,21.01553,105.7994,2.0,1.0,50.0,11.6
2.0,20.99537,105.7994,3.0,2.0,116.0,10.0
2.0,20.9980865,105.79779129999997,3.0,2.0,148.0,12.0
2.0,21.00837,105.8029,4.0,3.0,152.0,12.0
2.0,21.0224,105.786667,3.0,2.0,128.0,17.2
2.0,21.02707862854004,105.79344940185547,3.0,3.0,124.0,12.0
2.0,20.9981027,105.79777850000005,4.0,3.0,205.0,15.0
2.0,20.995365142822266,105.79940032958984,3.0,3.0,150.0,11.0
2.0,21.0790156,105.76345089999995,4.0,3.0,202.0,16.0
2.0,21.01944,105.7961,3.0,2.0,94.0,9.0
2.0,21.01944,105.7961,2.0,2.0,90.0,8.5
2.0,21.0362368,105.79058250000003,2.0,2.0,98.0,11.0
2.0,21.0362368,105.79058250000003,3.0,3.0,162.0,18.0
2.0,21.0101531,105.7988345,2.0,2.0,122.0,12.0
0.0,21.0034046,105.803749,1.0,1.0,50.0,10.5
0.0,20.993579,105.79820940000002,2.0,1.0,67.0,6.5
0.0,20.993579,105.79820940000002,2.0,1.0,67.0,6.5
0.0,20.993579,105.79820940000002,2.0,1.0,67.0,6.5
0.0,20.996887,105.82477029999995,2.0,1.0,87.0,8.0
0.0,20.9959716796875,105.82311248779297,2.0,2.0,80.0,8.0
0.0,20.9959716796875,105.82311248779297,2.0,2.0,83.0,8.0
0.0,21.00664514287517,105.80265234785463,3.0,1.0,94.0,8.5
0.0,20.99793,105.8081,2.0,2.0,86.0,7.5
0.0,20.9979343,105.808136,2.0,2.0,86.0,8.0
0.0,20.99793,105.8081,2.0,2.0,86.0,7.0
0.0,21.0070527,105.80298889999995,3.0,1.0,94.0,8.5
0.0,20.9979343,105.808136,2.0,2.0,88.0,8.0
0.0,21.004299,105.79868850000003,3.0,2.0,120.0,11.0
0.0,21.004396438598633,105.80526733398438,2.0,2.0,78.0,8.5
0.0,20.99349,105.80690000000004,3.0,2.0,107.0,12.0
0.0,20.9979343,105.808136,3.0,2.0,117.0,10.0
